iter	Passed	Remaining
672	47605	23130
673	47671	23057
674	47733	22982
675	47797	22909
676	47860	22834
677	47920	22758
678	47987	22686
679	48050	22612
680	48114	22538
681	48185	22467
682	48254	22396
683	48321	22323
684	48391	22252
685	48456	22179
686	48519	22105
687	48587	22033
688	48652	21960
689	48723	21890
690	48784	21815
691	48846	21740
692	48916	21670
693	48990	21601
694	49056	21528
695	49121	21455
696	49188	21383
697	49261	21313
698	49330	21242
699	49399	21171
700	49469	21100
701	49533	21026
702	49603	20956
703	49673	20885
704	49736	20811
705	49799	20738
706	49868	20666
707	49933	20594
708	50006	20524
709	50069	20450
710	50132	20377
711	50196	20304
712	50261	20231
713	50329	20160
714	50394	20087
715	50484	20024
716	50559	19956
717	50628	19884
718	50694	19812
719	50758	19739
720	50820	19665
721	50890	19595
722	50958	19523
723	51020	19449
724	51086	19377
725	51158	19307
726	51226	19236
727	51295	19165
728	51363	19093
729	51427	19021
730	51500	18951
731	51564	18878
732	51631	18807
733	51704	18737
734	51771	18665
735	51842	18595
736	51913	18525
737	51978	18453
738	52058	18385
739	52123	18313
740	52199	18245
741	52267	18173
742	52333	18101
743	52407	18032
744	52481	17963
745	52549	17892
746	52619	17821
747	52690	17751
748	52752	17678
749	52818	17606
750	52884	17534
751	52947	17461
752	53016	17390
753	53084	17319
754	53149	17247
755	53220	17176
756	53283	17104
757	53346	17031
758	53409	16958
759	53484	16889
760	53551	16818
761	53624	16748
762	53688	16676
763	53757	16605
764	53825	16534
765	53902	16466
766	53971	16395
767	54039	16324
768	54100	16251
769	54168	16180
770	54233	16108
771	54301	16037
772	54366	15965
773	54432	15893
774	54500	15822
775	54568	15751
776	54632	15679
777	54703	15609
778	54785	15542
779	54863	15474
780	54942	15406
781	55013	15336
782	55075	15263
783	55145	15193
784	55210	15121
785	55281	15051
786	55360	14983
787	55439	14915
788	55512	14845
789	55582	14775
790	55648	14703
791	55714	14632
792	55775	14559
793	55849	14489
794	55919	14419
795	55988	14348
796	56058	14278
797	56124	14206
798	56188	14135
799	56256	14064
800	56327	13993
801	56396	13923
802	56468	13853
803	56531	13781
804	56599	13710
805	56659	13637
806	56729	13567
807	56796	13496
808	56873	13427
809	56955	13360
810	57035	13291
811	57112	13223
812	57188	13153
813	57268	13085
814	57331	13013
815	57396	12942
816	57462	12871
817	57528	12799
818	57592	12727
819	57655	12656
820	57729	12586
821	57793	12514
822	57858	12443
823	57924	12372
824	57996	12302
825	58059	12230
826	58124	12159
827	58190	12087
828	58259	12017
829	58325	11946
830	58397	11876
831	58472	11806
832	58541	11736
833	58606	11665
834	58676	11594
835	58740	11523
836	58811	11453
837	58875	11381
838	58944	11311
839	59020	11241
840	59089	11171
841	59167	11102
842	59251	11034
843	59328	10965
844	59394	10894
845	59466	10824
846	59543	10755
847	59611	10685
848	59680	10614
849	59751	10544
850	59817	10473
851	59889	10403
852	59965	10334
853	60036	10263
854	60096	10191
855	60160	10120
856	60227	10049
857	60295	9978
858	60363	9908
859	60428	9837
860	60490	9765
861	60554	9694
862	60620	9623
863	60690	9553
864	60758	9482
865	60823	9411
866	60896	9341
867	60964	9271
868	61029	9200
869	61098	9129
870	61164	9058
871	61238	8989
872	61306	8918
873	61382	8849
874	61448	8778
875	61511	8707
876	61576	8636
877	61646	8565
878	61724	8496
879	61785	8425
880	61854	8354
881	61924	8284
882	61991	8214
883	62069	8144
884	62132	8073
885	62201	8003
886	62268	7932
887	62337	7862
888	62405	7791
889	62470	7721
890	62535	7650
891	62602	7579
892	62662	7508
893	62735	7438
894	62808	7368
895	62885	7299
896	62962	7229
897	63030	7159
898	63101	7089
899	63163	7018
900	63227	6947
901	63295	6876
902	63359	6806
903	63430	6735
904	63494	6665
905	63564	6595
906	63633	6524
907	63695	6453
908	63764	6383
909	63831	6313
910	63903	6243
911	63970	6172
912	64035	6101
913	64101	6031
914	64167	5960
915	64230	5890
916	64296	5819
917	64359	5748
918	64423	5678
919	64488	5607
920	64556	5537
921	64621	5466
922	64686	5396
923	64754	5326
924	64823	5255
925	64897	5186
926	64967	5116
927	65031	5045
928	65095	4974
929	65162	4904
930	65225	4834
931	65296	4764
932	65363	4693
933	65423	4623
934	65488	4552
935	65561	4482
936	65630	4412
937	65690	4342
938	65762	4272
939	65837	4202
940	65908	4132
941	65975	4062
942	66045	3992
943	66123	3922
944	66207	3853
945	66282	3783
946	66351	3713
947	66424	3643
948	66494	3573
949	66562	3503
950	66635	3433
951	66703	3363
952	66770	3292
953	66842	3222
954	66906	3152
955	66977	3082
956	67045	3012
957	67113	2942
958	67186	2872
959	67251	2802
960	67317	2731
961	67386	2661
962	67460	2591
963	67523	2521
964	67588	2451
965	67654	2381
966	67716	2310
967	67782	2240
968	67847	2170
969	67915	2100
970	67986	2030
971	68055	1960
972	68120	1890
973	68186	1820
974	68253	1750
975	68330	1680
976	68398	1610
977	68464	1540
978	68530	1470
979	68591	1399
980	68662	1329
981	68722	1259
982	68791	1189
983	68861	1119
984	68928	1049
985	68998	979
986	69075	909
987	69146	839
988	69209	769
989	69275	699
990	69343	629
991	69410	559
992	69485	489
993	69556	419
994	69618	349
995	69682	279
996	69750	209
997	69816	139
998	69883	69
999	69948	0
