iter	Accuracy	MultiClass
263	0.9994773519	-0.1200030709
264	0.9994773519	-0.119139785
265	0.9994773519	-0.1184172095
266	0.9994773519	-0.1176379373
267	0.9994773519	-0.1169600324
268	0.9994773519	-0.1161890435
269	0.9994773519	-0.1150843072
270	0.9994773519	-0.1145151703
271	0.9994773519	-0.1137765492
272	0.9994773519	-0.1132418536
273	0.9994773519	-0.1127333053
274	0.9994773519	-0.1121077694
275	0.9994773519	-0.1114777781
276	0.9994773519	-0.1107423895
277	0.9994773519	-0.1099682319
278	0.9994773519	-0.1093393784
279	0.9994773519	-0.1087348433
280	0.9994773519	-0.108180391
281	0.9994773519	-0.1075602887
282	0.9994773519	-0.1069994245
283	0.9994773519	-0.1063622451
284	0.9994773519	-0.1057327962
285	0.9994773519	-0.1049786398
286	0.9996515679	-0.104542802
287	0.999825784	-0.1039241565
288	0.999825784	-0.1034587049
289	0.999825784	-0.1029078892
290	0.999825784	-0.1024863745
291	0.999825784	-0.1018263229
292	0.999825784	-0.1012056889
293	0.999825784	-0.1005080805
294	0.999825784	-0.1000921482
295	0.999825784	-0.09953971624
296	1	-0.09881193048
297	1	-0.09832513789
298	1	-0.09773106592
299	1	-0.09731669675
300	1	-0.09681541097
301	1	-0.09633442417
302	1	-0.09563550783
303	1	-0.09501394877
304	1	-0.09461739038
305	1	-0.09405915264
306	1	-0.09348828253
307	1	-0.09313921247
308	1	-0.09248135131
309	1	-0.09197000643
310	1	-0.09143768204
311	1	-0.09097200719
312	1	-0.09058192449
313	1	-0.09007992628
314	1	-0.08945470936
315	1	-0.08880990058
316	1	-0.08828889534
317	1	-0.08781567617
318	1	-0.08737450045
319	1	-0.08700499319
320	1	-0.08665323822
321	1	-0.08616371819
322	1	-0.08582071444
323	1	-0.08528726824
324	1	-0.08464398002
325	1	-0.08402938577
326	1	-0.08366542378
327	1	-0.0832825026
328	1	-0.08276929158
329	1	-0.08227468351
330	1	-0.08178177677
331	1	-0.08128501015
332	1	-0.08102691331
333	1	-0.08044771733
334	1	-0.07994232178
335	1	-0.07933290063
336	1	-0.07890375649
337	1	-0.07845522253
338	1	-0.07788669174
339	1	-0.07749379121
340	1	-0.07714682124
341	1	-0.07653369438
342	1	-0.07599815342
343	1	-0.07561583835
344	1	-0.07525641677
345	1	-0.07489973859
346	1	-0.07450141508
347	1	-0.07416626402
348	1	-0.07380548138
349	1	-0.07357539267
350	1	-0.07327897341
351	1	-0.07272896584
352	1	-0.07231338448
353	1	-0.07193169145
354	1	-0.07158059044
355	1	-0.07116673167
356	1	-0.07074570074
357	1	-0.07045872918
358	1	-0.07027404998
359	1	-0.06987205798
360	1	-0.06950689974
361	1	-0.06919409988
362	1	-0.0689683017
363	1	-0.06856847889
364	1	-0.06812457041
365	1	-0.06787180086
366	1	-0.06754319992
367	1	-0.06712435413
368	1	-0.06684444308
369	1	-0.06651507122
370	1	-0.06617364651
371	1	-0.0658714959
372	1	-0.06552609434
373	1	-0.06512856832
374	1	-0.06482287683
375	1	-0.06452788775
376	1	-0.06432813585
377	1	-0.06398138385
378	1	-0.06371130329
379	1	-0.06346079863
380	1	-0.06314606351
381	1	-0.06285008553
382	1	-0.06255869051
383	1	-0.06231309313
384	1	-0.06202828012
385	1	-0.06169858926
386	1	-0.06145274731
387	1	-0.06115437684
388	1	-0.06089763575
389	1	-0.06062804431
390	1	-0.06027368951
391	1	-0.06003039955
392	1	-0.05971184707
393	1	-0.05945298464
394	1	-0.05919300571
395	1	-0.05898191871
396	1	-0.05860032138
397	1	-0.05823535986
398	1	-0.05777566092
399	1	-0.05746198382
400	1	-0.05712117052
401	1	-0.05685338675
402	1	-0.05658175904
403	1	-0.05637997086
404	1	-0.05612534048
405	1	-0.05579381537
406	1	-0.05543647261
407	1	-0.05513079706
408	1	-0.05483659485
409	1	-0.05455977277
410	1	-0.05424867956
411	1	-0.05398301713
412	1	-0.05370680646
413	1	-0.05347470805
414	1	-0.05321335211
415	1	-0.05304556391
416	1	-0.05279014667
417	1	-0.05263125323
418	1	-0.05231639051
419	1	-0.05199658862
420	1	-0.05181725798
421	1	-0.05159947731
422	1	-0.05138386583
423	1	-0.05111022311
424	1	-0.0509255705
425	1	-0.05070047412
426	1	-0.05046899776
427	1	-0.05021670139
428	1	-0.05004594118
429	1	-0.04983153127
430	1	-0.04957950074
431	1	-0.04934181453
432	1	-0.04915829968
433	1	-0.04895339594
434	1	-0.04862525754
435	1	-0.04833490458
436	1	-0.04803983044
437	1	-0.04788472777
438	1	-0.04763742905
439	1	-0.04741423604
440	1	-0.04718653981
441	1	-0.04699683106
442	1	-0.04669650938
443	1	-0.04650184552
444	1	-0.04629754788
445	1	-0.04611771215
446	1	-0.04592457416
447	1	-0.04567005011
448	1	-0.04554346065
449	1	-0.04529004247
450	1	-0.04501226339
451	1	-0.04479475919
452	1	-0.04457527453
453	1	-0.04440860549
454	1	-0.04425360384
455	1	-0.04403965913
456	1	-0.04379723047
457	1	-0.04356971767
458	1	-0.04332783131
459	1	-0.04317670815
460	1	-0.04291365354
461	1	-0.04273727895
462	1	-0.04251449
463	1	-0.04235955215
464	1	-0.04220494925
465	1	-0.04202444362
466	1	-0.04181590861
467	1	-0.04161018345
468	1	-0.04136516824
469	1	-0.04119345369
470	1	-0.0410452866
471	1	-0.04083899521
472	1	-0.04062296904
473	1	-0.0404573075
474	1	-0.04017777925
475	1	-0.04000089426
476	1	-0.0398179031
477	1	-0.03970018712
478	1	-0.03954142129
479	1	-0.03935450909
480	1	-0.03916281192
481	1	-0.03900479307
482	1	-0.03886744802
483	1	-0.03868292832
484	1	-0.03851997296
485	1	-0.03824807941
486	1	-0.0381017758
487	1	-0.03794461559
488	1	-0.03779586898
489	1	-0.03766108656
490	1	-0.03751038874
491	1	-0.03730987123
492	1	-0.03713610712
493	1	-0.03699227841
494	1	-0.03683882657
495	1	-0.03668357238
496	1	-0.0364786394
497	1	-0.03632029623
498	1	-0.03617099669
499	1	-0.03604795343
500	1	-0.03589127438
501	1	-0.03566748323
502	1	-0.03549554805
503	1	-0.03532880192
504	1	-0.03519355428
505	1	-0.03501212622
506	1	-0.03491274206
507	1	-0.03476321124
508	1	-0.03461041866
509	1	-0.03445689504
510	1	-0.03428762615
511	1	-0.03415782543
512	1	-0.0339954549
513	1	-0.03382981995
514	1	-0.03371144737
515	1	-0.03356478488
516	1	-0.03343385703
517	1	-0.03330906459
518	1	-0.03322514657
519	1	-0.03309788721
520	1	-0.03295240768
521	1	-0.03277559712
522	1	-0.03266344768
523	1	-0.03247557849
524	1	-0.03235593523
525	1	-0.03214340476
526	1	-0.03201561639
527	1	-0.03189263427
528	1	-0.03176341838
529	1	-0.03160626082
530	1	-0.03148754266
531	1	-0.03134877806
532	1	-0.03119459252
533	1	-0.03108517584
534	1	-0.03094646441
535	1	-0.03086847711
536	1	-0.030710328
537	1	-0.03060176464
538	1	-0.030474593
539	1	-0.03031639073
540	1	-0.03016690244
541	1	-0.03007331343
542	1	-0.02994107236
543	1	-0.02982628586
544	1	-0.02968650844
545	1	-0.02952066614
546	1	-0.02939425478
547	1	-0.02926863029
548	1	-0.02914044583
549	1	-0.0289881158
550	1	-0.02884261234
551	1	-0.02872835485
552	1	-0.02863339148
553	1	-0.02852053759
554	1	-0.02841620362
555	1	-0.02829320024
556	1	-0.02818814055
557	1	-0.02807625428
558	1	-0.02791626827
559	1	-0.02775808195
560	1	-0.02763204807
561	1	-0.02750783781
562	1	-0.02742747662
563	1	-0.02733159082
564	1	-0.02720440589
565	1	-0.02708352119
566	1	-0.02696402414
567	1	-0.02687935115
568	1	-0.02677251836
569	1	-0.02670296593
570	1	-0.02661684149
571	1	-0.02647795461
572	1	-0.02634325194
573	1	-0.02624811844
574	1	-0.02614210707
575	1	-0.02604971962
576	1	-0.02596150574
577	1	-0.02581752019
578	1	-0.0257345379
579	1	-0.02567040048
580	1	-0.02556917942
581	1	-0.02547552395
582	1	-0.02538154948
583	1	-0.02526983068
584	1	-0.0251655552
585	1	-0.02501748912
586	1	-0.02487517566
587	1	-0.02472928675
588	1	-0.02463560736
589	1	-0.02456004977
590	1	-0.02448866841
591	1	-0.02434424689
592	1	-0.02424089119
593	1	-0.02415210844
594	1	-0.02404485829
595	1	-0.02392959329
596	1	-0.0238078659
597	1	-0.02372810284
598	1	-0.02361128538
599	1	-0.02349080209
600	1	-0.02341376115
601	1	-0.02331984782
602	1	-0.02321458611
603	1	-0.02313409998
604	1	-0.02301556524
605	1	-0.02293776668
606	1	-0.02284355031
607	1	-0.02275290938
608	1	-0.02265817463
609	1	-0.02257355746
610	1	-0.02246977112
611	1	-0.02238735239
612	1	-0.02231844061
613	1	-0.02217134482
614	1	-0.02209594939
615	1	-0.02200416273
616	1	-0.02192299341
617	1	-0.02184075013
618	1	-0.02175587644
619	1	-0.02167931268
620	1	-0.02161422756
621	1	-0.02151263433
622	1	-0.02143065821
623	1	-0.02133517913
624	1	-0.02123490044
625	1	-0.0211500015
626	1	-0.02106209067
627	1	-0.02099396443
628	1	-0.02091133171
629	1	-0.02081598023
630	1	-0.02069555409
631	1	-0.02062002707
632	1	-0.02054972632
633	1	-0.02046556639
634	1	-0.02040303194
635	1	-0.02034783845
636	1	-0.02028848203
637	1	-0.02021278222
638	1	-0.02014927881
639	1	-0.02005718776
640	1	-0.01999870327
641	1	-0.01992499322
642	1	-0.01984190193
643	1	-0.0197861502
644	1	-0.01970922623
645	1	-0.0196402985
646	1	-0.01958528446
647	1	-0.01949861241
648	1	-0.0194237739
649	1	-0.01935908088
650	1	-0.01930258482
651	1	-0.01922448321
652	1	-0.01913824979
653	1	-0.01906592206
654	1	-0.01898271514
655	1	-0.01891192526
656	1	-0.01885379565
657	1	-0.01878924619
658	1	-0.01871056108
659	1	-0.01864835759
660	1	-0.01856810806
661	1	-0.01848767909
662	1	-0.0184260591
663	1	-0.01836571245
664	1	-0.01827088599
665	1	-0.01821430751
666	1	-0.01816415155
667	1	-0.01808644338
668	1	-0.01801276124
669	1	-0.01793910169
670	1	-0.01786768312
671	1	-0.01779342412
672	1	-0.01775294181
673	1	-0.01766656749
674	1	-0.01761465704
675	1	-0.01755418279
676	1	-0.01749525436
677	1	-0.01744156283
678	1	-0.01736758295
679	1	-0.01732064224
680	1	-0.0172641156
681	1	-0.01717963269
682	1	-0.01712193506
683	1	-0.01705942054
684	1	-0.01701455997
685	1	-0.01695031621
686	1	-0.01689628043
687	1	-0.01683600289
688	1	-0.01678399541
689	1	-0.01670316105
690	1	-0.01666502604
691	1	-0.01661968431
692	1	-0.01655411139
693	1	-0.01649364113
694	1	-0.01642239933
695	1	-0.01637196425
696	1	-0.01631879906
697	1	-0.01626542121
698	1	-0.01619644564
699	1	-0.01613913347
700	1	-0.01607363498
701	1	-0.01601621781
702	1	-0.01593219611
703	1	-0.01586820091
704	1	-0.01582454323
705	1	-0.01576376061
706	1	-0.01571587087
707	1	-0.01566393384
708	1	-0.01556709901
709	1	-0.0155106601
710	1	-0.01545619898
711	1	-0.01539809197
712	1	-0.01535563984
713	1	-0.01529103189
714	1	-0.01523064936
715	1	-0.01517396322
716	1	-0.01510023589
717	1	-0.01505114858
718	1	-0.01499720716
719	1	-0.01493739085
720	1	-0.01489409071
721	1	-0.01483306885
722	1	-0.01478165949
723	1	-0.01474463167
724	1	-0.01469009346
725	1	-0.01464386651
726	1	-0.01459407873
727	1	-0.01455088094
728	1	-0.01449329496
729	1	-0.01445996088
730	1	-0.01439245403
731	1	-0.01433936461
732	1	-0.01429308051
733	1	-0.01424045762
734	1	-0.01419198305
735	1	-0.01412431272
736	1	-0.01407435879
737	1	-0.01400998876
738	1	-0.01394982022
739	1	-0.01389842548
740	1	-0.01385050385
741	1	-0.01380083968
742	1	-0.01376410561
743	1	-0.01371318804
744	1	-0.01366584193
745	1	-0.01362256838
746	1	-0.01358029435
747	1	-0.01353897467
748	1	-0.01350394857
749	1	-0.01346812365
750	1	-0.01343161154
751	1	-0.01337954691
752	1	-0.01332581018
753	1	-0.0132869654
754	1	-0.01324351108
755	1	-0.01319115934
756	1	-0.01315823199
757	1	-0.01311880504
758	1	-0.0130902493
759	1	-0.01304253502
760	1	-0.0130108624
761	1	-0.01296911073
762	1	-0.01293375633
763	1	-0.01289310522
764	1	-0.01283424191
765	1	-0.01278169213
766	1	-0.01273005283
767	1	-0.01268133502
768	1	-0.01264799032
769	1	-0.01260175007
770	1	-0.01256000107
771	1	-0.01252078013
772	1	-0.01248966842
773	1	-0.01244467227
774	1	-0.01239985423
775	1	-0.01235394494
776	1	-0.01232219257
777	1	-0.01228587586
778	1	-0.01223891521
779	1	-0.01218796441
780	1	-0.01215571759
781	1	-0.01211274443
782	1	-0.01207833905
783	1	-0.01204148535
784	1	-0.01201164432
785	1	-0.01197323683
786	1	-0.01193000581
787	1	-0.01189092975
788	1	-0.01185390725
789	1	-0.01181928522
790	1	-0.01177249869
791	1	-0.01173085734
792	1	-0.01169676166
793	1	-0.01165525323
794	1	-0.01160423066
795	1	-0.0115676747
796	1	-0.01151606862
797	1	-0.0114831426
798	1	-0.01143788594
799	1	-0.01140626914
800	1	-0.01136921075
801	1	-0.01131694142
802	1	-0.01126429993
803	1	-0.0112339485
804	1	-0.0112130926
805	1	-0.01119286142
806	1	-0.01115034017
807	1	-0.0111113638
808	1	-0.01107066151
809	1	-0.01103281161
810	1	-0.0109913723
811	1	-0.0109499197
812	1	-0.010910942
813	1	-0.01087344565
814	1	-0.01084245157
815	1	-0.01080361609
816	1	-0.01077565715
817	1	-0.01074353594
